Type,Content,Translation,Extra,cat
personal,"Why are you here today?","為什麼你今天在這裡？","",0
personal,"What's the purpose of you being here today?","你今天在這裡的目的是什麼？","",0
personal,"Why are you come here today?","你今天為什麼來這裡？","",0
personal,"Why are you eligible for the naturalization?","為什麼你有資格入籍？","",0
personal,"What's the reason of you being here today?","你今天在這裡的原因是什麼？","",0
personal,"What's the eligibility of your naturalization?","你入籍的資格是什麼？","",0
personal,"For what reason do you file the N-400 form?","你出於什麼原因提交 N-400 表格？","",0
personal,"What's the reason of filing the N-400 form?","提交 N-400 表格的原因是什麼？","",0
personal,"What's the basis of filing this form?","提交此表格的依據是什麼？","",0
personal,"Are you filing the form under the general provision?","你是根據一般條款提交表格的嗎？","",0
personal,"What's your basis for eligibility?","你的資格依據是什麼？","",0
personal,"how did you get your green card?","你是如何獲得綠卡的？","",0
personal,"how did you become a permanent resident?","你是如何成為永久居民的？","",0
personal,"Who sponsored you?","誰擔保你的？","",0
personal,"what's your sponsor's name?","擔保人的名字是什麼？","",0
personal,"when did your sponsor become us citizen?","你的擔保人什麼時候成為美國公民的？","",0
personal,"Why are you eligible to become a U.S. citizen?","為什麼你有資格成為美國公民？","",0
personal,"What's your legal name?","你的法定姓名是什麼？","",0
personal,"Can you confirm your legal name?","你能確認你的法定姓名嗎？","",0
personal,"Could you state your full name for me?","你能為我陳述你的全名嗎？","",0
personal,"Do you have any other names before?","你以前有過其他名字嗎？","",0
personal,"Do you have nickname?","你有綽號嗎？","",0
personal,"Do you have previous name?","你有以前的名字嗎？","",0
personal,"What's your first name?","你的名字（First Name）是什麼？","",0
personal,"What's your last name?","你的姓氏（Last Name）是什麼？","",0
personal,"Can you spell your first name?","你能拼寫你的名字嗎？","",0
personal,"Can you spell your last name?","你能拼寫你的姓氏嗎？","",0
personal,"Would you like to legally change your name today?","你今天想合法更改姓名嗎？","",0
personal,"have you ever changed your name before?","你以前改過名字嗎？","",0
personal,"so you just want to keep your current name, right?","所以你只想保留現在的名字，對嗎？","",0
personal,"What's your date of birth?","你的出生日期是什麼？","",0
personal,"On what date were you born?","你是哪一天出生的？","",0
personal,"When were you born?","你什麼時候出生的？","",0
personal,"When did you become a permanent resident?","你什麼時候成為永久居民的？","",0
personal,"When did you get your green card?","你什麼時候拿到綠卡的？","",0
personal,"do you have another country of nationality?","你有其他國籍嗎？","",0
personal,"Where were you born?","你在哪裡出生？","",0
personal,"What country were you born in?","你在哪個國家出生？","",0
personal,"What's your nationality?","你的國籍是什麼？","",0
personal,"Are you still a citizen of that country?","你還是那個國家的公民嗎？","",0
personal,"Does any of your parents US citizens?","你的父母中有美國公民嗎？","",0
personal,"Was one of your parents a U.S. citizen before your 18th birthday?","在你的 18 歲生日之前，你的父母中有一位是美國公民嗎？","",0
personal,"Does your father US citizen?","你的父親是美國公民嗎？","",0
personal,"Does your mother US citizen?","你的母親是美國公民嗎？","",0
personal,"Do you want the Social Security Administration to issue you an original or replacement social security card?","你是否希望社會安全局為你核發原始或更換的社會安全卡？","",0
personal,"What's the last four numbers of your Social security card?","你社會安全卡的最後四位數字是多少？","",0
personal,"what's your alien register number?","你的外籍登記號碼是多少？","",0
personal,"what's your social security number?","你的社會安全號碼是多少？","",0
personal,"Do you want the Social Security Administration to issue you a card?","你想要社會安全局給你發一張卡嗎？","",0
personal,"Can you give me the last four numbers of your SSN?","你能給我 SSN 的最後四位數字嗎？","",0
personal,"Do you want us to notify the SSA to update your status?","你希望我們通知 SSA 更新你的身分嗎？","",0
personal,"What's your ethnicity?","你的族裔（Ethnicity）是什麼？","",0
personal,"What's your race?","你的種族（Race）是什麼？","",0
personal,"Are you Asian?","你是亞洲人嗎？","",0
personal,"Do you promise that everything you say is true?","你保證你所說的一切都是真實的嗎？","",0
personal,"What's your height?","你的身高是多少？","",0
personal,"How tall are you?","你有多高？","",0
personal,"What's your weight?","你的體重是多少？","",0
personal,"How much do you weigh?","你體重多少？","",0
personal,"What's your eye color?","你的眼睛是什麼顏色？","",0
personal,"What color are your eyes?","你的眼睛是什麼顏色？","",0
personal,"What's the color of your hair?","你的頭髮是什麼顏色？","",0
personal,"What's your hair color?","你的髮色是什麼？","",0
personal,"What's the best number to reach you?","聯繫你的最佳號碼是多少？","",0
personal,"What's your phone number?","你的電話號碼是多少？","",0
personal,"What is your cell phone number?","你的手機號碼是多少？","",0
personal,"Do you have email?","你有電子郵件嗎？","",0
personal,"Where do you live now?","你現在住在哪裡？","",0
personal,"What's your current physical address?","你目前的居住地址是什麼？","",0
personal,"Has your address changed since submitting your application?","提交申請後你的地址有變動嗎？","",0
personal,"how long have you lived in your current address?","你在現地址住了多久？","",0
personal,"When did you move to current address?","你什麼時候搬到現地址的？","",0
personal,"Have you ever lived anywhere eles during the last five years?","在過去五年中你還住過其他地方嗎？","",0
personal,"did you live anywhere eles before?","你以前住過其他地方嗎？","",0
personal,"where did you get married?","你在哪裡結婚的？","",0
personal,"When did you married?","你什麼時候結婚的？","",0
personal,"What date did you enter into married?","你哪天進入婚姻的？","",0
personal,"Where did you live before?","你以前住在哪裡？","",0
personal,"Is your mailing address the same as your physical address?","你的通訊地址與居住地址相同嗎？","",0
personal,"Where did you live previously?","你以前住在哪裡？","",0
personal,"What's your previous address? and when did you lived there?","你以前的地址是什麼？你什麼時候住在那裡的？","",0
personal,"Who do you live with?","你和誰住在一起？","",0
personal,"Is your current physical address also your current mailing address?","你目前的居住地址也是目前的通訊地址嗎？","",0
personal,"What's your current marital status?","你目前的婚姻狀況是什麼？","",0
personal,"Are you single?","你是單身嗎？","",0
personal,"Are you married?","你結婚了嗎？","",0
personal,"How many times have you been married?","你結過幾次婚？","",0
personal,"Is your spouse a current member of the U.S. armed forces?","你的配偶目前是美國武裝部隊的成員嗎？","",0
personal,"What's your spouse's name?","你配偶的名字是什麼？","",0
personal,"Do you have any children?","你有孩子嗎？","",0
personal,"Are you currently employed?","你目前有工作嗎？","",0
personal,"are you currently working?","你目前在工作嗎？","",0
personal,"Who's your current employer?","你目前的雇主是誰？","",0
personal,"What do you do for a living?","你靠什麼謀生？","",0
personal,"Where do you work now?","你現在在哪裡工作？","",0
personal,"What's your occupation?","你的職業是什麼？","",0
personal,"What did you do previously? and since when did you work for that job?","你以前做什麼？從什麼時候開始做那份工作的？","",0
personal,"What did you do previously?","你以前做什麼？","",0
personal,"Since when did you work at your current company","你從什麼時候開始在目前的這家公司工作的？","",0
personal,"How long have you been working for your current job?","你做目前這份工作多久了？","",0
personal,"Since when did you work there?","你從什麼時候開始在那裡工作的？","",0
personal,"Did you travel abroad after submitting your N-400 application form?","提交 N-400 申請表後你有出國旅行嗎？","",0
personal,"Where did you go for travel during the last five years?","過去五年你去了哪裡旅行？","",0
personal,"When and where did you go for travel during the last five years?","過去五年你什麼時候去了哪裡旅行？","",0
personal,"How many total days did you spend outside the United States during the last five years?","在過去的五年中，你在美國境外總共待了多少天？","",0
personal,"How many total trips did you take for the last five years?","在過去的五年中，你總共出國旅行了多少次？","",0
personal,"how many trips have you taken outside the U.S. during the last 5 years?","過去 5 年你出國旅行了多少次？","",0
personal,"Did any of your trips last more than 6 months?","你的旅行中有超過 6 個月的嗎？","",0
personal,"It's said that you took 4 trips during the last five years, right?","上面說你在過去五年裡旅行了 4 次，對嗎？","",0
personal,"When is your last trip?","你最後一次旅行是什麼時候？","",0
personal,"what's the purpose of your last trip?","你最後一次旅行的目的是什麼？","",0
personal,"Where is your last trip?","你最後一次旅行去了哪裡？","",0
personal,"what date did you return on the last trip?","最後一次旅行你哪天回來的？","",0
personal,"When and where is your last trip?","最後一次旅行是什麼時候、去了哪裡？","",0
personal,"Where did you go for the last trip?","最後一次旅行你去了哪裡？","",0
personal,"have you filed your tax return last year?","你去年報稅了嗎？","",0
personal,"do you believed in religion freedom?","你相信宗教自由嗎？","",0
personal,"Do you have any physical or mental condition that prevents you from learning English or civics?","你有任何生理或心理狀況阻礙你學習英語或公民知識嗎？","",0
personal,"Are you nervous?","你緊張嗎？","",0
personal,"What's your gender?","你的性別是什麼","",0
personal,"How did you study for the interview?","你為了這次面試是怎麼學習的？","",0
personal,"Who is with you here today?","今天誰跟你一起來的？","",0
personal,"Did you eat anything this morning?","今天早上吃什麼東西了嗎？","",0
personal,"Do you know what's this place?/Where are you now?","你知道這裡是什麼地方嗎？你現在在哪裡？","",0
personal,"Have you studied for the citizenship test?","你有沒有學習入籍考試？","",0
personal,"How did you come here today?","你今天是怎麼過來這裡的？","",0
personal,"How long did it take you to be here?","你來這裡花了多長時間？","",0
personal,"What time is your appointment?","你預約的時間是幾點？","",0
personal,"Is this your first interview?","這是你第一次面試嗎？","",0
personal,"Why did you fail last time?","上一次面試為什麼失敗了？","",0


part9,"Have you EVER claimed to be a U.S. citizen (in writing or any other way)?","您是否曾聲稱自己是美國公民（以書面或任何其他方式）？","",1
part9,"Have you EVER registered to vote or voted in any Federal, state, or local election in the United States?","您是否曾在美國的任何聯邦、州或地方選舉中登記投票或參與投票？","",2
part9,"Do you currently owe any overdue Federal, state, or local taxes in the United States?","您目前是否在美國欠任何過期的聯邦、州或地方稅款？","",3
part9,"Since you became a lawful permanent resident, have you called yourself a 'nonresident alien' on a Federal, state, or local tax return or decided not to file a tax return because you considered yourself to be a nonresident?","自從您成為合法永久居民後，您是否曾在聯邦、州或地方納稅申報表上稱自己為「非居民外僑」，或因為認為自己是非居民而決定不報稅？","",4
part9,"Have you ever been a member of, involved in, or in any way associated with any Communist or totalitarian party anywhere in the world?","您是否曾是世界任何地方的共產黨或極權政黨的成員、參與其中或有任何關聯？","",5.a
part9,"Have you ever Advocated (supported and promoted) any of the following, or been a member of, involved in, or in any way associated with any group anywhere in the world that advocated any of the following: Opposition to all organized government; World communism; The establishment in the United States of a totalitarian dictatorship; The overthrow by force or violence or other unconstitutional means of the Government of the United States or all forms of law; The unlawful assaulting or killing of any officer or officers of the Government of the United States or of any other organized government because of their official character; The unlawful damage, injury, or destruction of property; or Sabotage?","您是否曾擁護（支持及推廣）以下任何一項，或曾是世界任何地方擁護以下任何一項的組織成員、參與其中或有任何關聯：反對所有有組織的政府；世界共產主義；在美國建立極權獨裁政權；以武力、暴力或其他違憲手段推翻美國政府或所有形式的法律；因美國政府或任何其他有組織政府的官員的職務性質而非法襲擊或殺害該官員；非法損壞、傷害或毀壞財產；或破壞活動？","",5.b
part9,"Have you EVER been a member of, involved in, or in any way associated with, or have you EVER provided money, a thing of value, services or labor, or any other assistance or support to a group that: Used a weapon or explosive with intent to harm another person or cause damage to property; Engaged (participated) in kidnapping, assassination, or hijacking or sabotage of an airplane, ship, vehicle, or other mode of transportation; Threatened, attempted (tried), conspired (planned with others), prepared, planned, advocated for, or incited (encouraged) others to commit any of the acts listed in Item Numbers using weapon or explosive, kidnapping, assassination,or hijacking, or sabotage?","您是否曾经是以下组织的成员、参与者或以任何方式与之关联，或者您是否曾经向以下组织提供过金钱、有价物品、服务、劳动力或任何其他帮助或支持：使用武器或爆炸物意图伤害他人或损坏财产；参与（参与）绑架、暗杀或劫持或破坏飞机、船舶、车辆或其他交通工具；威胁、企图（尝试）、密谋（与他人策划）、准备、计划、鼓吹或煽动他人实施上述任何行为，例如使用武器或爆炸物、绑架、暗杀、劫持或破坏？","",6
part9,"Have you EVER ordered, incited, called for, committed, assisted, helped with, or otherwise participated in any of the following: Torture; Genocide; Killing or trying to kill any person;Intentionally and severely injuring or trying to injure any person;Any kind of sexual contact or activity with any person who did not consent (did not agree) or was unable to consent (could not agree), or was being forced or threatened by you or by someone else;Not letting someone practice his or her religion;Causing harm or suffering to any person because of his or her race, religion, national origin, membership in a particular social group, or political opinion.","您是否曾经下令、煽动、号召、实施、协助、帮助或以其他方式参与过以下任何行为：酷刑；种族灭绝；杀害或试图杀害任何人；故意严重伤害或试图伤害任何人；与任何未经同意（未同意）或无法同意（不能同意）的人发生任何形式的性接触或性行为，或强迫或威胁他人进行此类行为；阻止他人信奉其宗教；因任何人的种族、宗教、国籍、特定社会群体成员身份或政治观点而对其造成伤害或痛苦。","",7
part9,"Have you EVER served in, been a member of, assisted (helped), or participated in any military or police unit?","您是否曾服役於、成為其成員、協助（幫助）或參與過任何軍事或警察部隊？","",8
part9,"Have you EVER served in, been a member of, assisted (helped), or participated in any armed group (a group that carries weapons), for example: paramilitary unit (a group of people who act like a military group but are not part of the official military), self-defense unit, vigilante unit, rebel group, or guerrilla group?","您是否曾服役於、成為其成員、協助（幫助）或參與過任何武裝團體（攜帶武器的團體），例如：準軍事部隊（行為像軍事組織但非正式軍隊的一部分）、自衛隊、治安維持小組、反叛組織或游擊隊？","",8.b
part9,"Have you EVER worked, volunteered, or otherwise served in a place where people were detained (forced to stay), for example, a prison, jail, prison camp (a camp where prisoners of war or political prisoners are kept), detention facility, or labor camp, or have you EVER directed or participated in any other activity that involved detaining people?","您是否曾在人們被拘留的地方工作、擔任義工或服務，例如監獄、看守所、戰俘營、拘留所或勞改營，或者您是否曾指示或參與過任何其他涉及拘留他人的活動？","",9
part9,"Were you EVER a part of any group, or did you EVER help any group, unit, or organization that used a weapon against any person, or threatened to do so?","您是否曾是任何對他人使用武器或威脅要使用武器的團體的一員，或曾協助過此類團體、部隊或組織？","",10
part9,"Have you EVER sold, provided, or transported weapons, or assisted any person in selling, providing, or transporting weapons, which you knew or believed would be used against another person?","您是否曾出售、提供或運輸過武器，或協助任何人出售、提供或運輸您已知或相信會被用來對付他人的武器？","",11
part9,"Have you EVER received any weapons training, paramilitary training, or other military-type training?","您是否曾接受過任何武器訓練、準軍事訓練或其他軍事類型訓練？","",12
part9,"Have you EVER recruited (asked), enlisted (signed up), conscripted (required to join), or used any person under 15 years of age to serve in or help an armed group, or attempted or worked with others to do so?","您是否曾招募（邀請）、徵募（報名）、徵召（要求加入）或利用過任何未滿 15 歲的人在武裝團體中服役或協助該團體，或曾企圖或與他人合作這樣做？","",13
part9,"Have you EVER used any person under 15 years of age to take part in hostilities or attempted or worked with others to do so? (This could include participating in combat or providing services related to combat (such as serving as a messenger or transporting supplies).)","您是否曾利用過任何未滿 15 歲的人參加敵對行動，或企圖或與他人合作這樣做？（這可能包括參加戰鬥或提供與戰鬥相關的服務（例如擔任信差或運送物資）。）","",14
part9,"Have you EVER committed, agreed to commit, asked someone else to commit, helped commit, or tried to commit a crime or offense for which you were NOT arrested?","您是否曾犯下、同意犯下、要求他人犯下、協助犯下或企圖犯下任何您「沒有」被逮捕的犯罪或違法行為？","",15
part9,"Have you EVER been arrested, cited, detained or confined by any law enforcement officer, military official (in the U.S. or elsewhere), or immigration official for any reason, or been charged with a crime or offense?","您是否曾因任何原因被任何執法官員、軍方官員或移民局官員逮捕、傳喚、拘留或監禁，或被指控犯罪或違法行為？","",15
part9,"If you received a suspended sentence, were placed on probation, or were paroled, have you completed your suspended sentence, probation, or parole?","如果您被判處緩刑、假釋或受到監督，您是否已經完成您的緩刑、假釋或監督？","",16
part9,"Have you ever Engaged in prostitution, attempted to procure or import prostitutes or persons for the purpose of prostitution, or received any proceeds or money from prostitution?","你是否曾從事賣淫、企圖招攬或引進妓女，或從賣淫中獲得任何收益或金錢？","",17
part9,"Have you ever Manufactured, cultivated, produced, distributed, dispensed, sold, or smuggled (trafficked) any controlled substances, illegal drugs, narcotics, or drug paraphernalia in violation of any law or regulation of a U.S. state, the United States, or a foreign country?","你是否曾違反法律或法規，製造、培植、生產、分發、配發、銷售或走私任何受管制物質、非法藥物、麻醉品或毒品器具？","",17
part9,"Have you ever Been married to more than one person at the same time?","你是否曾同時與超過一人結婚？","",17
part9,"Have you ever Married someone in order to obtain an immigration benefit?","你是否曾為了獲得移民利益而與某人結婚？","",17
part9,"Have you ever Helped anyone to enter, or try to enter, the United States illegally?","你是否曾協助任何人非法進入或企圖進入美國？","",17
part9,"Have you ever Gambled illegally or received income from illegal gambling?","你是否曾非法賭博或從非法賭博中獲取收入？","",17
part9,"Have you ever Failed to support your dependents (pay child support) or to pay alimony (court-ordered financial support after divorce or separation)?","你是否曾經未能撫養您的受撫養人（支付子女撫養費）或支付贍養費（離婚或分居後由法院命令的財務支持）？","",17
part9,"Have you ever Made any misrepresentation to obtain any public benefit in the United States?","你是否曾為了在美國獲得任何公共福利而做出任何虛假陳述？","",17
part9,"Have you EVER given any U.S. Government officials any information or documentation that was false, fraudulent, or misleading?","您是否曾向任何美國政府官員提供過任何虛假、詐欺或誤導性的資訊或文件？","",18
part9,"Have you EVER lied to any U.S. Government officials to gain entry or admission into the United States or to gain immigration benefits while in the United States?","您是否曾向任何美國政府官員撒謊以便進入美國，或在美國期間獲得移民福利？","",19
part9,"Have you EVER been placed in removal, rescission, or deportation proceedings?","您是否曾被列入移送、撤銷或遣返程序？","",20
part9,"Have you EVER been removed or deported from the United States?","您是否曾被從美國移送或驅逐出境？","",21
part9,"Are you a male who lived in the United States at any time between your 18th and 26th birthdays? If you answered ‘Yes’ , did you register for the Selective Service? ","您是否為在 18 歲至 26 歲之間的任何時間居住在美國的男性？如果您回答是，请问您是否已登记参加兵役登记？","",22
part9,"Have you EVER left the United States to avoid being drafted in the U.S. armed forces?","您是否曾為了逃避在美國武裝部隊徵兵而離開美國？","",23
part9,"Have you EVER applied for any kind of exemption from military service in the U.S. armed forces?","您是否曾申請過免除在美國武裝部隊服役的任何豁免？","",24
part9,"Have you EVER served in the U.S. armed forces?","您是否曾在美國武裝部隊服役？","",25
part9,"Are you currently a member of the U.S. armed forces? If you answered ‘Yes’, are you scheduled to deploy outside the United States, including to a vessel, within the next 3 months?","您目前是美國武裝部隊的成員嗎？如果您回答是，您是否計劃在未來三個月內被派往美國境外，包括登上船隻執行任務？","",26
part9,"Are you currently a member of the U.S. armed forces? If you answered ‘Yes’, are you currently stationed outside the United States?","您目前是美國武裝部隊的成員嗎？如果您回答是，您目前驻扎在美国境外吗？","",26
part9,"Are you currently a member of the U.S. armed forces? If you answered ‘No’, are you a former U.S. military service member who is currently residing outside of the U.S.?","您目前是美國武裝部隊的成員嗎？如果您回答不是，您是否曾是美国军人，目前居住在美国境外？","",26
part9,"Have you EVER been court-martialed or have you received a discharge characterized as other than honorable, bad conduct, or dishonorable, while in the U.S. armed forces?","在美國武裝部隊期間，您是否曾受過軍事法庭審判，或曾獲得非榮譽、品行不良或不名譽的退伍證明？","",27
part9,"Have you EVER been discharged from training or service in the U.S. armed forces because you were an alien?","您是否曾因為是外籍人士而從美國武裝部隊的訓練或服役中退伍？","",28
part9,"Have you EVER deserted from the U.S. armed forces?","您是否曾在美國武裝部隊中逃兵？","",29
part9,"Do you now have, or did you EVER have, a hereditary title or an order of nobility in any foreign country?","您現在在任何外國擁有、或曾經擁有世襲頭銜或貴族爵位嗎？","",30
part9,"Do you support the Constitution and form of Government of the United States?","您是否支持美國憲法和美國政府形式？","",31
part9,"Do you understand the full Oath of Allegiance to the United States (see Part 16. Oath of Allegiance)?","您是否理解對美國完整的效忠誓言（參見第 16 部分：效忠誓言）？","",32
part9,"Are you unable to take the Oath of Allegiance because of a physical or developmental disability or mental impairment?","您是否因為身體或發育殘疾或心理障礙而無法進行效忠宣誓？","",33
part9,"Are you willing to take the full Oath of Allegiance to the United States?","您是否願意宣讀對美國完整的效忠誓言？","",34
part9,"If the law requires it, are you willing to bear arms (carry weapons) on behalf of the United States?","如果法律要求，您是否願意代表美國拿起武器（攜帶武器）？","",35
part9,"If the law requires it, are you willing to perform noncombatant services (do something that does not include fighting in a war) in the U.S. armed forces?","如果法律要求，您是否願意在美國武裝部隊中從事非戰鬥服務（做一些不包括在戰爭中戰鬥的事情）？","",36
part9,"If the law requires it, are you willing to perform work of national importance under civilian direction (do non-military work that the U.S. Government says is important to the country)?","如果法律要求，您是否願意在平民領導下從事對國家有重大影響的工作（從事美國政府認為對國家重要的非軍事工作）？","",37
glossary,"Claim","聲稱","Means To say something.",1
glossary,"Registered","登記","Means To sign up.",1
glossary,"Vote","投票","Means To choose a leader.",1
glossary,"Owe taxes","欠稅","Means Not pay money to government.",1
glossary,"Pay taxes","納稅","Means file taxes / Give money to government.",1
glossary,"Nonresident","非居民","Means Not living here.",1
glossary,"Nonresident alien","非居民外僑","Means Not a U.S. resident.",1
glossary,"Alien","外國人/外僑","Means Not a U.S. citizen.",1
glossary,"Provide","提供","Means To give.",1
glossary,"Detained","被拘留","Means Held by the police.",1
glossary,"Training","訓練","Means Learning how to do something.",1
glossary,"Arrested","被逮捕","Means Taken by the police.",1
glossary,"Convicted","被定罪","Means Found guilty by law.",1
glossary,"Prostitution","賣淫者/賣淫","Means have Sex for money.",1
glossary,"Prostitute","賣淫者/賣淫","Means have Sex for money.",1
glossary,"Gamble","賭博","Means Playing for money.",1
glossary,"Gambling","賭博","Means Playing for money.",1
glossary,"FALSE","虛假","Means Something is not true.",1
glossary,"Truth","真相","Means Not a lie.",1
glossary,"Lie","說謊","Means not tell the truth.",1
glossary,"Support","支持","Means To agree with.",1
glossary,"Understand","理解","Means Knowing what it means.",1
glossary,"Willing","願意","Means agree to do it.",1
glossary,"Bear arms","持武器","Means use a gun.",1
glossary,"Terrorist","恐怖分子","Means A violent person/ Means Bad people.",2
glossary,"Sabotage","蓄意破壞","Means To damage on purpose.",2
glossary,"Weapon","武器","Like a gun or knife.",2
glossary,"Explosive","炸藥","Like a bomb.",2
glossary,"Kidnapping","綁架","Means Taking someone by force.",2
glossary,"Assassination","暗殺","Means Killing a leader.",2
glossary,"Torture","酷刑","Means To hurt someone badly.",2
glossary,"Genocide","種族滅絕","Means To kill a whole group.",2
glossary,"Kill","殺害","Means To take a life.",2
glossary,"Injure","傷害","Means To hurt someone.",2
glossary,"Crime","犯罪/違法行為","Means Breaking the law.",2
glossary,"Illegal drugs","毒品","Means Bad medicine.",2
glossary,"Smuggled","走私","Means to take something to a country illegally.",2
glossary,"Habitual drunkard","習慣性酗酒者","Means Drinking problem/ Drinks too much alcohol.",2
glossary,"Polygamy","多配偶制","Means More than one spouse.",2
glossary,"Illegally","非法","Means Against the law.",2
glossary,"Noncombatant","非戰鬥","Means Not fighting.",2
glossary,"Organization","組織/團體","Means A group of people.",3
glossary,"Communist","共產黨/共產主義","Means No freedom.",3
glossary,"Communism","共產黨/共產主義","Means No freedom.",3
glossary,"Totalitarian","極權政黨","Means Government has total control.",3
glossary,"Totalitarian Party","極權政黨","Means Government has total control.",3
glossary,"Overthrow","推翻","Means To take down the government.",3
glossary,"Police unit","警察部隊","Means Law enforcement.",3
glossary,"Public benefit","公共福利","Means Government help.",3
glossary,"Constitution","憲法","Means Supreme law of the land.",3
glossary,"Form of Government","美國政府形式","It's Republic. (or Democracy)",3
glossary,"Oath / Oath of Allegiance","效忠誓言","Means A promise to be loyal.",3
glossary,"Prison","監獄","Means Place for criminals.",4
glossary,"Jail","監獄","Means Place for criminals.",4
glossary,"Labor camp","勞改營/勞動營","Means a Place for forced work.",4
glossary,"Military","軍隊","Means The army.",4
glossary,"Deportation","驅逐出境","Means Forced to leave the U.S. / Get out from the U.S.",4
glossary,"Removed","遣返","Means Sent back to your country.",4
glossary,"Anywhere in the world","世界任何地方","Means Every place.",4
